event_type,event_text,ai_risk_score,ai_price_spike_score,ai_load_pressure_score,ai_renewable_curtailment_score,ai_recommended_storage_bias,ai_event_summary,ai_explanation,ai_provider,ai_model
正常运行,系统当前处于平稳运行状态，无异常气象或市场信号。,0.1,0.1,0.2,0.1,0.0,系统平稳运行，无异常信号,无气象或市场异常，负荷和新能源均正常，储能保持中性,openai_compatible,deepseek-chat
正常运行,当前调度时段未触发任何预警或邀约，按常规模式执行。,0.0,0.0,0.0,0.0,0.0,正常运行，无预警或邀约,当前调度时段未触发任何预警或邀约，按常规模式执行，所有风险指标均为0，储能偏差中性。,openai_compatible,deepseek-chat
正常运行,运行状态正常，负荷与电价均在预期区间内波动。,0.1,0.2,0.3,0.1,0.0,运行状态正常，负荷与电价均在预期区间内波动。,系统处于正常运行状态，无异常风险，负荷和电价波动在预期范围内，新能源消纳正常，储能建议保持中性策略。,openai_compatible,deepseek-chat
正常运行,无极端天气与市场异动，维持基础调度策略。,0.1,0.1,0.2,0.2,0.0,无极端天气与市场异动，维持基础调度策略,系统处于正常运行状态，无风险事件，负荷和新能源消纳压力低，储能保持中性策略。,openai_compatible,deepseek-chat
正常运行,日内无突发事件，各资源出力稳定。,0.1,0.2,0.3,0.2,0.0,日内无突发事件，各资源出力稳定。,系统运行平稳，无异常风险，价格波动小，负荷压力低，新能源消纳正常，储能保持中性策略。,openai_compatible,deepseek-chat
高温预警,南方区域持续高温，空调负荷预计在晚高峰快速攀升。,0.8,0.9,0.85,0.1,-0.7,南方区域持续高温，空调负荷预计在晚高峰快速攀升,高温导致空调负荷激增，晚高峰供需紧张，电价可能飙升，储能应倾向放电或保留高价套利能力，风险较高。,openai_compatible,deepseek-chat
高温预警,气象部门提示未来数小时出现极端炎热天气，居民用电负荷可能显著增加。,0.8,0.9,0.85,0.1,-0.7,极端炎热天气导致居民用电负荷显著增加,高温预警下，负荷压力大，电价可能飙升，储能应倾向放电或保留高价套利能力，避免充电。,openai_compatible,deepseek-chat
高温预警,多地发布高温红色预警，降温负荷叠加晚高峰，整体用电需求走高。,0.8,0.7,0.9,0.1,-0.6,高温红色预警导致降温负荷增加，晚高峰用电需求上升,高温预警推高负荷和电价风险，储能应倾向放电以应对高峰需求或套利,openai_compatible,deepseek-chat
高温预警,受高温影响，午后至夜间负荷曲线明显抬升，需防范供需偏紧。,0.7,0.6,0.8,0.2,-0.3,高温导致午后至夜间负荷抬升，供需偏紧风险增加。,高温天气推高用电负荷，尤其在午后至夜间时段，供需偏紧可能引发价格尖峰，储能应适当保留放电能力以应对高价套利机会，同时减少充电倾向。,openai_compatible,deepseek-chat
高温预警,炎热天气持续，空调类负荷占比上升，运行备用面临压力。,0.7,0.8,0.9,0.1,-0.6,高温导致空调负荷增加，运行备用紧张,高温天气推高空调负荷，系统备用容量承压，电价可能飙升，储能应倾向放电以缓解供需紧张并套利。,openai_compatible,deepseek-chat
需求响应,交易中心发起削峰邀约，请聚合商在晚高峰时段降低用电。,0.7,0.8,0.9,0.2,-0.6,交易中心发起削峰邀约，要求聚合商在晚高峰时段降低用电。,晚高峰时段负荷压力大，价格尖峰风险高，需响应削峰邀约，储能应倾向放电以降低用电负荷，故推荐放电偏负。,openai_compatible,deepseek-chat
需求响应,调度启动可调负荷响应，鼓励储能与柔性负荷参与晚间顶峰。,0.3,0.6,0.7,0.2,-0.4,调度启动可调负荷响应，鼓励储能与柔性负荷参与晚间顶峰。,晚间顶峰需求响应事件，负荷压力较高，价格尖峰风险中等，新能源弃电风险低，建议储能偏向放电以支撑顶峰。,openai_compatible,deepseek-chat
需求响应,为缓解晚高峰供应紧张，现开展需求响应调用，参与方可获补偿。,0.7,0.8,0.9,0.1,-0.6,晚高峰供应紧张，需求响应调用，参与有补偿。,晚高峰供应紧张，负荷压力大，价格可能飙升，风险较高；新能源弃电风险低；储能应倾向放电以缓解高峰压力并获取补偿。,openai_compatible,deepseek-chat
需求响应,电力供需偏紧，建议负荷集成商在高峰段主动压降用电。,0.8,0.7,0.9,0.3,-0.6,电力供需偏紧，建议负荷集成商在高峰段主动压降用电。,供需偏紧导致风险较高，高峰时段电价可能飙升，负荷压力大，可再生能源弃电风险较低，建议储能偏向放电以缓解高峰压力。,openai_compatible,deepseek-chat
需求响应,今日执行需求响应事件，请于傍晚高峰减少非关键负荷。,0.7,0.6,0.8,0.3,-0.5,需求响应事件：傍晚高峰减少非关键负荷,需求响应事件要求削减负荷，表明系统面临高峰负荷压力，风险较高；价格可能因供需紧张而上涨；可再生能源弃电风险较低；储能应偏向放电以支持削峰，故推荐偏负。,openai_compatible,deepseek-chat
价格尖峰,日前市场出清价格出现异常抬升，晚高峰存在尖峰风险。,0.8,0.9,0.7,0.1,-0.6,日前市场出清价格异常抬升，晚高峰存在尖峰风险,价格异常抬升和尖峰风险导致风险评分高，价格尖峰评分高，负荷压力中等，新能源弃电风险低，建议储能偏向放电以套利,openai_compatible,deepseek-chat
价格尖峰,现货价格波动加剧，晚间时段报价明显高于平日。,0.7,0.8,0.5,0.3,-0.6,现货价格波动加剧，晚间时段报价明显高于平日,价格尖峰事件，晚间高价时段适合放电套利，因此推荐储能偏向放电（负偏置）。,openai_compatible,deepseek-chat
价格尖峰,市场公告显示近期结算价格走高，建议把握高价放电窗口。,0.3,0.8,0.5,0.2,-0.6,市场公告显示近期结算价格走高，建议把握高价放电窗口。,价格尖峰事件，价格走高，风险较低，建议放电套利，储能偏向放电。,openai_compatible,deepseek-chat
价格尖峰,预计晚间现货价格大幅上涨，储能宜预留容量待价而沽。,0.7,0.9,0.5,0.3,-0.8,预计晚间现货价格大幅上涨，储能宜预留容量待价而沽。,价格尖峰事件，风险较高，价格尖峰可能性极大，负荷压力中等，新能源弃电风险较低，建议储能偏向放电或保留容量以套利。,openai_compatible,deepseek-chat
价格尖峰,受供需与天气影响，日前出清价格在夜间达到峰值。,0.7,0.9,0.5,0.3,-0.8,日前出清价格在夜间达到峰值,夜间价格尖峰表明供需紧张或天气影响，风险较高，储能应倾向放电或保留高价套利能力。,openai_compatible,deepseek-chat
新能源消纳,午间光伏出力充裕，存在弃光风险，建议储能优先吸纳。,0.7,0.2,0.3,0.8,0.6,午间光伏出力充裕，存在弃光风险，建议储能优先吸纳。,午间光伏出力充裕，弃光风险高，储能应优先充电以吸纳多余新能源，避免弃光。,openai_compatible,deepseek-chat
新能源消纳,新能源出力大于本地负荷，调度提示提升午间充电以缓解消纳压力。,0.2,0.1,0.3,0.8,0.7,新能源出力大于本地负荷，调度提示提升午间充电以缓解消纳压力。,新能源出力过剩，消纳压力大，弃风弃光风险高，建议储能充电以吸纳多余新能源。,openai_compatible,deepseek-chat
新能源消纳,日照充足导致光伏过剩，需调用储能减少弃电。,0.3,0.2,0.4,0.8,0.7,日照充足导致光伏过剩，需调用储能减少弃电,光伏出力高，弃电风险大，储能应充电以吸纳新能源，减少弃电。,openai_compatible,deepseek-chat
新能源消纳,午间可再生发电富余，鼓励增加储能充电消纳绿电。,0.2,0.1,0.3,0.8,0.7,午间可再生发电富余，鼓励增加储能充电消纳绿电,午间可再生发电富余，弃风弃光风险高，需增加储能充电以消纳绿电，降低弃电率。,openai_compatible,deepseek-chat
新能源消纳,光伏高位运行，消纳形势紧张，建议午间加强储能吸纳。,0.7,0.3,0.4,0.8,0.6,光伏高位运行，消纳形势紧张，建议午间加强储能吸纳。,光伏出力高导致弃光风险增加，需储能充电以缓解消纳压力，故可再生能源消纳压力得分高，储能偏向充电。,openai_compatible,deepseek-chat
